Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount,Id.1,Id
Przemyslaw Biecek,Przemyslaw Biecek,Noise,,1,1,przemyslaw biecek,Przemyslaw Biecek
Roman Topor-madry,Roman Topor-madry,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,roman topormadry,Roman Topor-Madry
Maciej Osiewicz,Maciej Osiewicz,Noise,,1,1,maciej osiewicz,Maciej Osiewicz
Kamila Kuziemska-pawlak,Kamila Kuziemska-pawlak,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,kamila kuziemskapawlak,Kamila Kuziemska-Pawlak
Aneta Blazejowska,Aneta Blazejowska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,aneta blazejowska,Aneta Blazejowska
Adrian Penalver,Adrian Penalver,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,adrian penalver,Adrian Penalver
Claus Brand,Claus Brand,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,claus brand,Claus Brand
Slawomir Cieslak,Slawomir Cieslak,Noise,,1,1,slawomir cieslak,Slawomir Cieslak
Sergio Destefanis,Sergio Destefanis,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,sergio destefanis,Sergio Destefanis
Magdalena Michalejko,Magdalena Michalejko,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,magdalena michalejko,Magdalena Michalejko
Anna Kozak,Anna Kozak,Noise,,1,1,anna kozak,Anna Kozak
Irena E kotowska,Irena E kotowska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,irena e kotowska,Irena E Kotowska
Leszek Paczek,Leszek Paczek,Noise,,1,1,leszek paczek,Leszek Paczek
Aleksandra Zolocinska,Aleksandra Zolocinska,Noise,,1,1,aleksandra zolocinska,Aleksandra Zolocinska
Jan Borysowski,Jan Borysowski,Noise,,1,1,jan borysowski,Jan Borysowski
Beata Kaleta,Beata Kaleta,Noise,,1,1,beata kaleta,Beata Kaleta
Agnieszka Kulesza,Agnieszka Kulesza,Noise,,1,1,agnieszka kulesza,Agnieszka Kulesza
Alicja Gosiewska,Alicja Gosiewska,Noise,,1,1,alicja gosiewska,Alicja Gosiewska
Anna Burdzinska,Anna Burdzinska,Noise,,1,1,anna burdzinska,Anna Burdzinska
Marta Klosok,Marta Klosok,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,marta klosok,Marta Klosok
Filip Szubzda,Filip Szubzda,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,filip szubzda,Filip Szubzda
Buczynski M chlebus m,Buczynski M chlebus m,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,buczynski m chlebus m,Buczynski M Chlebus M
Piotr Wojewnik,Piotr Wojewnik,Noise,,1,1,piotr wojewnik,Piotr Wojewnik
Jakub Sztachelski,Jakub Sztachelski,Noise,,1,1,jakub sztachelski,Jakub Sztachelski
Dominik Ogonowski,Dominik Ogonowski,Noise,,1,1,dominik ogonowski,Dominik Ogonowski
Monika Oczkowska,Monika Oczkowska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,monika oczkowska,Monika Oczkowska
Dorota Holzer-zelazewska,Dorota Holzer-zelazewska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,dorota holzerzelazewska,Dorota Holzer-Zelazewska
Luisa Araujo,Luisa Araujo,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,luisa araujo,Luisa Araujo
Yaroslav Sanchak,Yaroslav Sanchak,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,yaroslav sanchak,Yaroslav Sanchak
Malgorzata Bala,Malgorzata Bala,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,malgorzata bala,Malgorzata Bala
Anita Abramowska-kmon,Anita Abramowska-kmon,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,anita abramowskakmon,Anita Abramowska-Kmon
Monika Serafin,Monika Serafin,Noise,,1,1,monika serafin,Monika Serafin
Agata Gondek,Agata Gondek,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,agata gondek,Agata Gondek
Katarzyna Czarzasta,Katarzyna Czarzasta,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,katarzyna czarzasta,Katarzyna Czarzasta
Walkowiak W,Walkowiak W,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,walkowiak w,Walkowiak W
Agnieszka Cudnoch-jedrzejewska,Agnieszka Cudnoch-jedrzejewska,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,agnieszka cudnochjedrzejewska,Agnieszka Cudnoch-Jedrzejewska
Michal Dyczko,Michal Dyczko,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,michal dyczko,Michal Dyczko
Grzegorz Wieczorek,Grzegorz Wieczorek,Noise,,1,1,grzegorz wieczorek,Grzegorz Wieczorek
Katarzyna Chyrowicz,Katarzyna Chyrowicz,Noise,,1,1,katarzyna chyrowicz,Katarzyna Chyrowicz
Kamila Kontna,Kamila Kontna,Noise,,1,1,kamila kontna,Kamila Kontna
Michal Korycki,Michal Korycki,Noise,,1,1,michal korycki,Michal Korycki
Albina Jegorowa,Albina Jegorowa,Noise,,1,1,albina jegorowa,Albina Jegorowa
Michal Kruk,Michal Kruk,Noise,,1,1,michal kruk,Michal Kruk
Illya Barziy,Illya Barziy,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,illya barziy,Illya Barziy
Anna Cyganek,Anna Cyganek,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,anna cyganek,Anna Cyganek
Sebastien Bourdin,Sebastien Bourdin,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,sebastien bourdin,Sebastien Bourdin
Mateusz Kopyt,Mateusz Kopyt,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,mateusz kopyt,Mateusz Kopyt
Joanna Swiesciak,Joanna Swiesciak,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,joanna swiesciak,Joanna Swiesciak
Pawel Majczak,Pawel Majczak,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,pawel majczak,Pawel Majczak
Piotr Tederko,Piotr Tederko,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,piotr tederko,Piotr Tederko
Maciej Stoklosa,Maciej Stoklosa,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,maciej stoklosa,Maciej Stoklosa
Piotr Borowski,Piotr Borowski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,piotr borowski,Piotr Borowski
Mateusz Buczynski,Mateusz Buczynski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,mateusz buczynski,Mateusz Buczynski
Renata Gabryelczyk,Renata Gabryelczyk,Noise,,1,1,renata gabryelczyk,Renata Gabryelczyk
Stefan Cylwik,Stefan Cylwik,Noise,,1,1,stefan cylwik,Stefan Cylwik
Barbara Gornicka,Barbara Gornicka,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,barbara gornicka,Barbara Gornicka
Christopher Kobierzycki,Christopher Kobierzycki,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,christopher kobierzycki,Christopher Kobierzycki
Agnieszka Chlon-dominczak,Agnieszka Chlon-dominczak,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,agnieszka chlondominczak,Agnieszka Chlon-Dominczak
Anna Maliszewka,Anna Maliszewka,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,anna maliszewka,Anna Maliszewka
Gianluigi Coppola,Gianluigi Coppola,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,gianluigi coppola,Gianluigi Coppola
Ireneusz Bialecki,Ireneusz Bialecki,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,ireneusz bialecki,Ireneusz Bialecki
Daniel Oesterwind,Daniel Oesterwind,Noise,,1,1,daniel oesterwind,Daniel Oesterwind
Anna Bialek-jaworska,Anna Bialek-jaworska,Noise,,1,1,anna bialekjaworska,Anna Bialek-Jaworska
Sadananda Prusty,Sadananda Prusty,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,sadananda prusty,Sadananda Prusty
Filip Targowski,Filip Targowski,Noise,,1,1,filip targowski,Filip Targowski
Michal Kurtyka,Michal Kurtyka,Noise,,1,1,michal kurtyka,Michal Kurtyka
Waldemar Koziol,Waldemar Koziol,Noise,,1,1,waldemar koziol,Waldemar Koziol
Jan Dierking,Jan Dierking,Noise,,1,1,jan dierking,Jan Dierking
Agnieszka Allen,Agnieszka Allen,Noise,,1,1,agnieszka allen,Agnieszka Allen
Pawel Sliwinski,Pawel Sliwinski,Noise,,1,1,pawel sliwinski,Pawel Sliwinski
Aleksandra Banasiewicz,Aleksandra Banasiewicz,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,aleksandra banasiewicz,Aleksandra Banasiewicz
Anna Michalak,Anna Michalak,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,anna michalak,Anna Michalak
Tomasz Tratkiewicz,Tomasz Tratkiewicz,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,tomasz tratkiewicz,Tomasz Tratkiewicz
Katarzyna Dziewanowska,Katarzyna Dziewanowska,Noise,,1,1,katarzyna dziewanowska,Katarzyna Dziewanowska
Adriana Wloka,Adriana Wloka,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,adriana wloka,Adriana Wloka
Helen C andersson,Helen C andersson,Noise,,1,1,helen c andersson,Helen C Andersson
Jacob Carstensen,Jacob Carstensen,Noise,,1,1,jacob carstensen,Jacob Carstensen
Frank Melzner,Frank Melzner,Noise,,1,1,frank melzner,Frank Melzner
Piotr Margonski,Piotr Margonski,Noise,,1,1,piotr margonski,Piotr Margonski
Brian R mackenzie,Brian R mackenzie,Noise,,1,1,brian r mackenzie,Brian R Mackenzie
Linda Laikre,Linda Laikre,Noise,,1,1,linda laikre,Linda Laikre
Sara Kurland,Sara Kurland,Noise,,1,1,sara kurland,Sara Kurland
Harri Kuosa,Harri Kuosa,Noise,,1,1,harri kuosa,Harri Kuosa
Erik Bonsdorff,Erik Bonsdorff,Noise,,1,1,erik bonsdorff,Erik Bonsdorff
Veijo Jormalainen,Veijo Jormalainen,Noise,,1,1,veijo jormalainen,Veijo Jormalainen
Kerstin Johannesson,Kerstin Johannesson,Noise,,1,1,kerstin johannesson,Kerstin Johannesson
Anna Czarny,Anna Czarny,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,anna czarny,Anna Czarny
Klaus Hinsby,Klaus Hinsby,Noise,,1,1,klaus hinsby,Klaus Hinsby
Marek Reksa,Marek Reksa,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,marek reksa,Marek Reksa
Michele Casini,Michele Casini,Noise,,1,1,michele casini,Michele Casini
Seifeddine Jomaa,Seifeddine Jomaa,Noise,,1,1,seifeddine jomaa,Seifeddine Jomaa
Thorsten Bh reusch,Thorsten Bh reusch,Noise,,1,1,thorsten bh reusch,Thorsten Bh Reusch
Henn Ojaveer,Henn Ojaveer,Noise,,1,1,henn ojaveer,Henn Ojaveer
Justyna Molska,Justyna Molska,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,justyna molska,Justyna Molska
Jens Christian refsgaard,Jens Christian refsgaard,Noise,,1,1,jens christian refsgaard,Jens Christian Refsgaard
Gerald Schwarz,Gerald Schwarz,Noise,,1,1,gerald schwarz,Gerald Schwarz
Karin Tonderski,Karin Tonderski,Noise,,1,1,karin tonderski,Karin Tonderski
Monika Winder,Monika Winder,Noise,,1,1,monika winder,Monika Winder
Marianne Zandersen,Marianne Zandersen,Noise,,1,1,marianne zandersen,Marianne Zandersen
Petr Mariel,Petr Mariel,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,petr mariel,Petr Mariel
David Hoyos,David Hoyos,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,david hoyos,David Hoyos
Ewa Zaczynska,Ewa Zaczynska,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,ewa zaczynska,Ewa Zaczynska
Thijs Dekker,Thijs Dekker,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,thijs dekker,Thijs Dekker
Pierluigi Pretegiani,Pierluigi Pretegiani,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,pierluigi pretegiani,Pierluigi Pretegiani
Jette Bredahl jacobsen,Jette Bredahl jacobsen,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,jette bredahl jacobsen,Jette Bredahl Jacobsen
Ulf Liebe,Ulf Liebe,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,ulf liebe,Ulf Liebe
Soren Boye olsen,Soren Boye olsen,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,soren boye olsen,Soren Boye Olsen
Julian Sagebiel,Julian Sagebiel,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,julian sagebiel,Julian Sagebiel
Mara Thiene,Mara Thiene,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,mara thiene,Mara Thiene
Michela Faccioli,Michela Faccioli,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,michela faccioli,Michela Faccioli
Julia Martin-ortega,Julia Martin-ortega,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,julia martinortega,Julia Martin-Ortega
Martina Donatoni,Martina Donatoni,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,martina donatoni,Martina Donatoni
Kaderjak P,Kaderjak P,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,kaderjak p,Kaderjak P
Jeanrenaud C,Jeanrenaud C,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,jeanrenaud c,Jeanrenaud C
Hutchison M,Hutchison M,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,hutchison m,Hutchison M
Alistair Hunt,Alistair Hunt,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,alistair hunt,Alistair Hunt
Farreras V,Farreras V,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,farreras v,Farreras V
Annica Sandstrom,Annica Sandstrom,Noise,,1,1,annica sandstrom,Annica Sandstrom
Chilton S,Chilton S,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,chilton s,Chilton S
Ami D,Ami D,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,ami d,Ami D
Desaigues B,Desaigues B,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,desaigues b,Desaigues B
Miko_aj Czajkowski,Miko_aj Czajkowski,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,miko_aj czajkowski,Miko_Aj Czajkowski
Aleksandra Wasowicz,Aleksandra Wasowicz,Noise,,1,1,aleksandra wasowicz,Aleksandra Wasowicz
Braun-kohlova M,Braun-kohlova M,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,braunkohlova m,Braun-Kohlova M
James Middleton,James Middleton,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,james middleton,James Middleton
Devenish Bj,Devenish Bj,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,devenish bj,Devenish Bj
Jolanta Kujawa,Jolanta Kujawa,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,jolanta kujawa,Jolanta Kujawa
Jan Gaska,Jan Gaska,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,jan gaska,Jan Gaska
Maciej Pyrka,Maciej Pyrka,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,maciej pyrka,Maciej Pyrka
Anne White,Anne White,Noise,,1,1,anne white,Anne White
Louise Martinsen,Louise Martinsen,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,louise martinsen,Louise Martinsen
Yulia Khaleeva,Yulia Khaleeva,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,yulia khaleeva,Yulia Khaleeva
Pawel Kazimierski,Pawel Kazimierski,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,pawel kazimierski,Pawel Kazimierski
Piotr Lampart,Piotr Lampart,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,piotr lampart,Piotr Lampart
Katarzyna Januszewicz,Katarzyna Januszewicz,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,katarzyna januszewicz,Katarzyna Januszewicz
Tadeusz Kadziela,Tadeusz Kadziela,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,tadeusz kadziela,Tadeusz Kadziela
Urban J,Urban J,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,urban j,Urban J
Szanto R,Szanto R,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,szanto r,Szanto R
Dugald Tinch,Dugald Tinch,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,dugald tinch,Dugald Tinch
Stoeckel M-e,Stoeckel M-e,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,stoeckel me,Stoeckel M-E
Riera R,Riera R,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,riera r,Riera R
Rabl A,Rabl A,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,rabl a,Rabl A
Pellegrini S,Pellegrini S,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,pellegrini s,Pellegrini S
Ortiz R,Ortiz R,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,ortiz r,Ortiz R
Nielsen Seested j,Nielsen Seested j,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,nielsen seested j,Nielsen Seested J
Navrud S,Navrud S,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,stale navrud,Navrud S
Scasny M,Scasny M,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,milan scasny,Scasny M
Marie Maar,Marie Maar,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,marie maar,Marie Maar
Malgorzata Buszko-briggs,Malgorzata Buszko-briggs,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,malgorzata buszkobriggs,Malgorzata Buszko-Briggs
Per Angelstam,Per Angelstam,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,per angelstam,Per Angelstam
Aljona Karloseva,Aljona Karloseva,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,aljona karloseva,Aljona Karloseva
Vivi Fleming-lehtinen,Vivi Fleming-lehtinen,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,vivi fleminglehtinen,Vivi Fleming-Lehtinen
Kim Dahlbo,Kim Dahlbo,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,kim dahlbo,Kim Dahlbo
Daija Angeli,Daija Angeli,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,daija angeli,Daija Angeli
Mohammed H alemu,Mohammed H alemu,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,mohammed h alemu,Mohammed H Alemu
Tore Soderqvist,Tore Soderqvist,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,tore soderqvist,Tore Soderqvist
Leszek Lankiewicz,Leszek Lankiewicz,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,leszek lankiewicz,Leszek Lankiewicz
Przemyslaw Sikora,Przemyslaw Sikora,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,przemyslaw sikora,Przemyslaw Sikora
Erika Jorgensen,Erika Jorgensen,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,erika jorgensen,Erika Jorgensen
Linus Hasselstrom,Linus Hasselstrom,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,linus hasselstrom,Linus Hasselstrom
Ryszard Malarski,Ryszard Malarski,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,ryszard malarski,Ryszard Malarski
Jones Cg,Jones Cg,Noise,,1,1,jones cg,Jones Cg
Marcin Malawski,Marcin Malawski,Noise,,1,1,marcin malawski,Marcin Malawski
Przemyslaw Kusztelak,Przemyslaw Kusztelak,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,przemyslaw kusztelak,Przemyslaw Kusztelak
Jakub Boratynski,Jakub Boratynski,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,jakub boratynski,Jakub Boratynski
Michal Antoszewski,Michal Antoszewski,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,michal antoszewski,Michal Antoszewski
Jedrzej Matla,Jedrzej Matla,Noise,,1,1,jedrzej matla,Jedrzej Matla
Peter Mieszkowski,Peter Mieszkowski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,peter mieszkowski,Peter Mieszkowski
Francesca Maria mancini,Francesca Maria mancini,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,francesca maria mancini,Francesca Maria Mancini
Marek Luczkowski,Marek Luczkowski,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,marek luczkowski,Marek Luczkowski
Magdalena Zachlod-jelec,Magdalena Zachlod-jelec,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,magdalena zachlodjelec,Magdalena Zachlod-Jelec
Katarzyna Zagorska,Katarzyna Zagorska,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,katarzyna zagorska,Katarzyna Zagorska
Christian A vossler,Christian A vossler,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,christian a vossler,Christian A Vossler
Claire Armstrong,Claire Armstrong,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,claire armstrong,Claire Armstrong
Daiva Semeniene,Daiva Semeniene,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,daiva semeniene,Daiva Semeniene
Ieva Oskolokaite,Ieva Oskolokaite,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,ieva oskolokaite,Ieva Oskolokaite
Kristine Pakalniete,Kristine Pakalniete,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,kristine pakalniete,Kristine Pakalniete
Aleksandra Wisniewska,Aleksandra Wisniewska,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,aleksandra wisniewska,Aleksandra Wisniewska
Tea Nommann,Tea Nommann,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,tea nommann,Tea Nommann
Weronika Urbanska,Weronika Urbanska,Noise,,1,1,weronika urbanska,Weronika Urbanska
Robert Jeszke,Robert Jeszke,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,robert jeszke,Robert Jeszke
Andrzej Kubisiak,Andrzej Kubisiak,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,andrzej kubisiak,Andrzej Kubisiak
Renata Stefanska,Renata Stefanska,Noise,,1,1,renata stefanska,Renata Stefanska
Rebecca Pogni,Rebecca Pogni,Noise,,1,1,rebecca pogni,Rebecca Pogni
Michal Boni,Michal Boni,Noise,,1,1,michal boni,Michal Boni
Krzysztof Rolka,Krzysztof Rolka,Noise,,1,1,krzysztof rolka,Krzysztof Rolka
Emilia Lewczuk,Emilia Lewczuk,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,emilia lewczuk,Emilia Lewczuk
Maciej Cygler,Maciej Cygler,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,maciej cygler,Maciej Cygler
Grzegorz Peszko,Grzegorz Peszko,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,grzegorz peszko,Grzegorz Peszko
Wojciech Rabiega,Wojciech Rabiega,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,wojciech rabiega,Wojciech Rabiega
James Cr smart,James Cr smart,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,james cr smart,James Cr Smart
Janne Artell,Janne Artell,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,janne artell,Janne Artell
Markiewicz O,Markiewicz O,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,markiewicz o,Markiewicz O
Maria Szczepaniec,Maria Szczepaniec,Cluster 17,"article, research, determinant, includes, europe, objective, goal, development, theory, identify",1,1,maria szczepaniec,Maria Szczepaniec
Hanna Miecznikowska,Hanna Miecznikowska,Noise,,1,1,hanna miecznikowska,Hanna Miecznikowska
Klarita Gerxhani,Klarita Gerxhani,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,klarita gerxhani,Klarita Gerxhani
Michal Latoszek,Michal Latoszek,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,michal latoszek,Michal Latoszek
Baranochnikov I.,Baranochnikov I.,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,baranochnikov i,Baranochnikov I
Maryna Zenkova,Maryna Zenkova,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,maryna zenkova,Maryna Zenkova
