Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount,NormId,Author,Community
Emilio Ernesto porta,Emilio Ernesto porta,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",2,2,Emilio Ernesto porta,Emilio Ernesto porta,8
Jerzy Wisniewski,Jerzy Wisniewski,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",3,3,Jerzy Wisniewski,Jerzy Wisniewski,8
Artur Pokropek,Artur Pokropek,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",3,1,Artur Pokropek,Artur Pokropek,8
Francesca Borgonovi,Francesca Borgonovi,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Francesca Borgonovi,Francesca Borgonovi,8
Harry Anthony patrinos,Harry Anthony patrinos,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",2,2,Harry Anthony patrinos,Harry Anthony patrinos,8
Ireneusz Bialecki,Ireneusz Bialecki,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,Ireneusz Bialecki,Ireneusz Bialecki,8
Ralph Hippe,Ralph Hippe,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",2,1,Ralph Hippe,Ralph Hippe,8
Luisa Araujo,Luisa Araujo,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Luisa Araujo,Luisa Araujo,8
Harry Patrinos,Harry Patrinos,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,Harry Patrinos,Harry Patrinos,8
Pawel Strawinski,Pawel Strawinski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",3,2,Pawel Strawinski,Pawel Strawinski,8
Claus Brand,Claus Brand,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Claus Brand,Claus Brand,3
Adrian Penalver,Adrian Penalver,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Adrian Penalver,Adrian Penalver,3
Nikolai Stahler,Nikolai Stahler,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",2,1,Nikolai Stahler,Nikolai Stahler,3
Marcin Waniek,Marcin Waniek,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,2,Marcin Waniek,Marcin Waniek,3
Aneta Blazejowska,Aneta Blazejowska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Aneta Blazejowska,Aneta Blazejowska,3
Kamila Kuziemska-pawlak,Kamila Kuziemska-pawlak,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,Kamila Kuziemska-pawlak,Kamila Kuziemska-pawlak,3
Maciej Osiewicz,Maciej Osiewicz,Noise,,1,1,Maciej Osiewicz,Maciej Osiewicz,3
Slawomir Cieslak,Slawomir Cieslak,Noise,,1,1,Slawomir Cieslak,Slawomir Cieslak,3
Ewa Chlebus,Ewa Chlebus,Noise,,2,2,Ewa Chlebus,Ewa Chlebus,16
Marcin Chlebus,Marcin Chlebus,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",19,7,Marcin Chlebus,Marcin Chlebus,16
Magdalena Walicka,Magdalena Walicka,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",4,3,Magdalena Walicka,Magdalena Walicka,16
Melania Brzozowska,Melania Brzozowska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",4,3,Melania Brzozowska,Melania Brzozowska,16
Andrzej Sliwczynski,Andrzej Sliwczynski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",4,3,Andrzej Sliwczynski,Andrzej Sliwczynski,16
Tadeusz Jedrzejczyk,Tadeusz Jedrzejczyk,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Tadeusz Jedrzejczyk,Tadeusz Jedrzejczyk,16
Lidia Kania,Lidia Kania,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,2,Lidia Kania,Lidia Kania,16
Monika Puzianowska-kuznicka,Monika Puzianowska-kuznicka,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",4,3,Monika Puzianowska-kuznicka,Monika Puzianowska-kuznicka,16
Edward Franek,Edward Franek,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",4,3,Edward Franek,Edward Franek,16
Przemyslaw Biecek,Przemyslaw Biecek,Noise,,1,1,Przemyslaw Biecek,Przemyslaw Biecek,16
Janusz Gajda,Janusz Gajda,Noise,,2,2,Janusz Gajda,Janusz Gajda,16
Alicja Gosiewska,Alicja Gosiewska,Noise,,1,1,Alicja Gosiewska,Alicja Gosiewska,16
Anna Kozak,Anna Kozak,Noise,,1,1,Anna Kozak,Anna Kozak,16
Dominik Ogonowski,Dominik Ogonowski,Noise,,1,1,Dominik Ogonowski,Dominik Ogonowski,16
Jakub Sztachelski,Jakub Sztachelski,Noise,,1,1,Jakub Sztachelski,Jakub Sztachelski,16
Piotr Wojewnik,Piotr Wojewnik,Noise,,1,1,Piotr Wojewnik,Piotr Wojewnik,16
Filip Szubzda,Filip Szubzda,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,Filip Szubzda,Filip Szubzda,16
Marta Klosok,Marta Klosok,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,Marta Klosok,Marta Klosok,16
Filip A dabrowski,Filip A dabrowski,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",3,2,Filip A dabrowski,Filip A dabrowski,16
Anna Burdzinska,Anna Burdzinska,Noise,,1,1,Anna Burdzinska,Anna Burdzinska,16
Agnieszka Kulesza,Agnieszka Kulesza,Noise,,1,1,Agnieszka Kulesza,Agnieszka Kulesza,16
Beata Kaleta,Beata Kaleta,Noise,,1,1,Beata Kaleta,Beata Kaleta,16
Jan Borysowski,Jan Borysowski,Noise,,1,1,Jan Borysowski,Jan Borysowski,16
Aleksandra Zolocinska,Aleksandra Zolocinska,Noise,,1,1,Aleksandra Zolocinska,Aleksandra Zolocinska,16
Leszek Paczek,Leszek Paczek,Noise,,1,1,Leszek Paczek,Leszek Paczek,16
Miroslaw Wielgos,Miroslaw Wielgos,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",3,2,Miroslaw Wielgos,Miroslaw Wielgos,16
Agnieszka Tuszynska,Agnieszka Tuszynska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,Agnieszka Tuszynska,Agnieszka Tuszynska,16
Yaroslav Sanchak,Yaroslav Sanchak,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Yaroslav Sanchak,Yaroslav Sanchak,16
Daniel Rutkowski,Daniel Rutkowski,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",3,2,Daniel Rutkowski,Daniel Rutkowski,16
Piotr Borowski,Piotr Borowski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,Piotr Borowski,Piotr Borowski,16
Marcin Czech,Marcin Czech,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,Marcin Czech,Marcin Czech,16
Andrzej Jacyna,Andrzej Jacyna,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",2,1,Andrzej Jacyna,Andrzej Jacyna,16
Monika Serafin,Monika Serafin,Noise,,1,1,Monika Serafin,Monika Serafin,16
Barbara Grzechocinska,Barbara Grzechocinska,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,Barbara Grzechocinska,Barbara Grzechocinska,16
Agata Gondek,Agata Gondek,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,Agata Gondek,Agata Gondek,16
Katarzyna Czarzasta,Katarzyna Czarzasta,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,Katarzyna Czarzasta,Katarzyna Czarzasta,16
Lukasz Michalowski,Lukasz Michalowski,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",2,2,Lukasz Michalowski,Lukasz Michalowski,16
Agnieszka Cudnoch-jedrzejewska,Agnieszka Cudnoch-jedrzejewska,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,Agnieszka Cudnoch-jedrzejewska,Agnieszka Cudnoch-jedrzejewska,16
Michal Dyczko,Michal Dyczko,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,Michal Dyczko,Michal Dyczko,16
Grzegorz Wieczorek,Grzegorz Wieczorek,Noise,,1,1,Grzegorz Wieczorek,Grzegorz Wieczorek,16
Katarzyna Chyrowicz,Katarzyna Chyrowicz,Noise,,1,1,Katarzyna Chyrowicz,Katarzyna Chyrowicz,16
Kamila Kontna,Kamila Kontna,Noise,,1,1,Kamila Kontna,Kamila Kontna,16
Michal Korycki,Michal Korycki,Noise,,1,1,Michal Korycki,Michal Korycki,16
Albina Jegorowa,Albina Jegorowa,Noise,,1,1,Albina Jegorowa,Albina Jegorowa,16
Michal Kruk,Michal Kruk,Noise,,1,1,Michal Kruk,Michal Kruk,16
Illya Barziy,Illya Barziy,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,Illya Barziy,Illya Barziy,16
Anna Cyganek,Anna Cyganek,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,Anna Cyganek,Anna Cyganek,16
Christopher Kobierzycki,Christopher Kobierzycki,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,Christopher Kobierzycki,Christopher Kobierzycki,16
Barbara Gornicka,Barbara Gornicka,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,Barbara Gornicka,Barbara Gornicka,16
Stefan Cylwik,Stefan Cylwik,Noise,,1,1,Stefan Cylwik,Stefan Cylwik,16
Renata Gabryelczyk,Renata Gabryelczyk,Noise,,1,1,Renata Gabryelczyk,Renata Gabryelczyk,16
Mateusz Buczynski,Mateusz Buczynski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,Mateusz Buczynski,Mateusz Buczynski,16
Katarzyna Dabrowska,Katarzyna Dabrowska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",5,2,Katarzyna Dabrowska,Katarzyna Dabrowska,24
Marcin Gruszczynski,Marcin Gruszczynski,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",18,8,Marcin Gruszczynski,Marcin Gruszczynski,24
Andrzej Wieczorkiewicz,Andrzej Wieczorkiewicz,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",2,1,Andrzej Wieczorkiewicz,Andrzej Wieczorkiewicz,24
Maciej Stoklosa,Maciej Stoklosa,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Maciej Stoklosa,Maciej Stoklosa,24
Katarzyna Dabrowska-gruszczynska,Katarzyna Dabrowska-gruszczynska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",7,6,Katarzyna Dabrowska-gruszczynska,Katarzyna Dabrowska-gruszczynska,24
Pawel Majczak,Pawel Majczak,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,Pawel Majczak,Pawel Majczak,24
Mateusz Kopyt,Mateusz Kopyt,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,Mateusz Kopyt,Mateusz Kopyt,1
Sebastien Bourdin,Sebastien Bourdin,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Sebastien Bourdin,Sebastien Bourdin,1
Sergio Destefanis,Sergio Destefanis,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Sergio Destefanis,Sergio Destefanis,1
Gianluigi Coppola,Gianluigi Coppola,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,Gianluigi Coppola,Gianluigi Coppola,1
Mehmet Burak turgut,Mehmet Burak turgut,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",4,2,Mehmet Burak turgut,Mehmet Burak turgut,3
Pintus P,Pintus P,Noise,,2,2,Pintus P,Pintus P,38
Jacek Suda,Jacek Suda,Noise,,3,3,Jacek Suda,Jacek Suda,38
Turgut B,Turgut B,Noise,,2,2,Turgut B,Turgut B,38
Tomasz Tratkiewicz,Tomasz Tratkiewicz,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Tomasz Tratkiewicz,Tomasz Tratkiewicz,3
Patrick Pintus,Patrick Pintus,Noise,,1,1,Patrick Pintus,Patrick Pintus,38
Burak Turgut,Burak Turgut,Noise,,1,1,Burak Turgut,Burak Turgut,38
Joanna Siwinska-gorzelak,Joanna Siwinska-gorzelak,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",4,2,Joanna Siwinska-gorzelak,Joanna Siwinska-gorzelak,9
Grzegorz Tchorek,Grzegorz Tchorek,Noise,,3,2,Grzegorz Tchorek,Grzegorz Tchorek,10
Pawel Sliwinski,Pawel Sliwinski,Noise,,1,1,Pawel Sliwinski,Pawel Sliwinski,9
Katarzyna Dziewanowska,Katarzyna Dziewanowska,Noise,,1,1,Katarzyna Dziewanowska,Katarzyna Dziewanowska,9
Agnieszka Allen,Agnieszka Allen,Noise,,1,1,Agnieszka Allen,Agnieszka Allen,9
Waldemar Koziol,Waldemar Koziol,Noise,,1,1,Waldemar Koziol,Waldemar Koziol,9
Michal Kurtyka,Michal Kurtyka,Noise,,1,1,Michal Kurtyka,Michal Kurtyka,9
Filip Targowski,Filip Targowski,Noise,,1,1,Filip Targowski,Filip Targowski,9
Sadananda Prusty,Sadananda Prusty,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,Sadananda Prusty,Sadananda Prusty,9
Anna Bialek-jaworska,Anna Bialek-jaworska,Noise,,1,1,Anna Bialek-jaworska,Anna Bialek-jaworska,9
Thorsten Bh reusch,Thorsten Bh reusch,Noise,,1,1,Thorsten Bh reusch,Thorsten Bh reusch,18
Jan Dierking,Jan Dierking,Noise,,1,1,Jan Dierking,Jan Dierking,18
Helen C andersson,Helen C andersson,Noise,,1,1,Helen C andersson,Helen C andersson,18
Erik Bonsdorff,Erik Bonsdorff,Noise,,1,1,Erik Bonsdorff,Erik Bonsdorff,18
Jacob Carstensen,Jacob Carstensen,Noise,,1,1,Jacob Carstensen,Jacob Carstensen,18
Michele Casini,Michele Casini,Noise,,1,1,Michele Casini,Michele Casini,18
Mikolaj Czajkowski,Mikolaj Czajkowski,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",18,10,Mikolaj Czajkowski,Mikolaj Czajkowski,18
Berit Hasler,Berit Hasler,Noise,,2,1,Berit Hasler,Berit Hasler,18
Klaus Hinsby,Klaus Hinsby,Noise,,1,1,Klaus Hinsby,Klaus Hinsby,18
Kari Hyytiainen,Kari Hyytiainen,Noise,,2,1,Kari Hyytiainen,Kari Hyytiainen,18
Kerstin Johannesson,Kerstin Johannesson,Noise,,1,1,Kerstin Johannesson,Kerstin Johannesson,18
Seifeddine Jomaa,Seifeddine Jomaa,Noise,,1,1,Seifeddine Jomaa,Seifeddine Jomaa,18
Veijo Jormalainen,Veijo Jormalainen,Noise,,1,1,Veijo Jormalainen,Veijo Jormalainen,18
Harri Kuosa,Harri Kuosa,Noise,,1,1,Harri Kuosa,Harri Kuosa,18
Sara Kurland,Sara Kurland,Noise,,1,1,Sara Kurland,Sara Kurland,18
Linda Laikre,Linda Laikre,Noise,,1,1,Linda Laikre,Linda Laikre,18
Brian R mackenzie,Brian R mackenzie,Noise,,1,1,Brian R mackenzie,Brian R mackenzie,18
Piotr Margonski,Piotr Margonski,Noise,,1,1,Piotr Margonski,Piotr Margonski,18
Frank Melzner,Frank Melzner,Noise,,1,1,Frank Melzner,Frank Melzner,18
Daniel Oesterwind,Daniel Oesterwind,Noise,,1,1,Daniel Oesterwind,Daniel Oesterwind,18
Henn Ojaveer,Henn Ojaveer,Noise,,1,1,Henn Ojaveer,Henn Ojaveer,18
Jens Christian refsgaard,Jens Christian refsgaard,Noise,,1,1,Jens Christian refsgaard,Jens Christian refsgaard,18
Annica Sandstrom,Annica Sandstrom,Noise,,1,1,Annica Sandstrom,Annica Sandstrom,18
Gerald Schwarz,Gerald Schwarz,Noise,,1,1,Gerald Schwarz,Gerald Schwarz,18
Karin Tonderski,Karin Tonderski,Noise,,1,1,Karin Tonderski,Karin Tonderski,18
Monika Winder,Monika Winder,Noise,,1,1,Monika Winder,Monika Winder,18
Marianne Zandersen,Marianne Zandersen,Noise,,1,1,Marianne Zandersen,Marianne Zandersen,18
Petr Mariel,Petr Mariel,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,Petr Mariel,Petr Mariel,18
David Hoyos,David Hoyos,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,David Hoyos,David Hoyos,18
Jurgen Meyerhoff,Jurgen Meyerhoff,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",2,1,Jurgen Meyerhoff,Jurgen Meyerhoff,18
Thijs Dekker,Thijs Dekker,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,Thijs Dekker,Thijs Dekker,18
Klaus Glenk,Klaus Glenk,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",2,2,Klaus Glenk,Klaus Glenk,18
Jette Bredahl jacobsen,Jette Bredahl jacobsen,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,Jette Bredahl jacobsen,Jette Bredahl jacobsen,18
Ulf Liebe,Ulf Liebe,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,Ulf Liebe,Ulf Liebe,18
Soren Boye olsen,Soren Boye olsen,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,Soren Boye olsen,Soren Boye olsen,18
Julian Sagebiel,Julian Sagebiel,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,Julian Sagebiel,Julian Sagebiel,18
Mara Thiene,Mara Thiene,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,Mara Thiene,Mara Thiene,18
Michela Faccioli,Michela Faccioli,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,Michela Faccioli,Michela Faccioli,18
Julia Martin-ortega,Julia Martin-ortega,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,Julia Martin-ortega,Julia Martin-ortega,18
Nick Hanley,Nick Hanley,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",9,5,Nick Hanley,Nick Hanley,18
Karine Nyborg,Karine Nyborg,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,Karine Nyborg,Karine Nyborg,18
Richard T carson,Richard T carson,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",2,1,Richard T carson,Richard T carson,18
Miko_aj Czajkowski,Miko_aj Czajkowski,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,Miko_aj Czajkowski,Miko_aj Czajkowski,18
Desaigues B,Desaigues B,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Desaigues B,Desaigues B,19
Ami D,Ami D,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Ami D,Ami D,19
Bartczak A,Bartczak A,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Bartczak A,Bartczak A,19
Braun-kohlova M,Braun-kohlova M,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Braun-kohlova M,Braun-kohlova M,19
Chilton S,Chilton S,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Chilton S,Chilton S,19
Czajkowski M,Czajkowski M,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Czajkowski M,Czajkowski M,19
Farreras V,Farreras V,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Farreras V,Farreras V,19
Alistair Hunt,Alistair Hunt,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Alistair Hunt,Alistair Hunt,19
Hutchison M,Hutchison M,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Hutchison M,Hutchison M,19
Jeanrenaud C,Jeanrenaud C,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Jeanrenaud C,Jeanrenaud C,19
Kaderjak P,Kaderjak P,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Kaderjak P,Kaderjak P,19
Maca V,Maca V,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Maca V,Maca V,19
Markiewicz O,Markiewicz O,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Markiewicz O,Markiewicz O,19
Markowska A,Markowska A,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Markowska A,Markowska A,19
Metcalf H,Metcalf H,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Metcalf H,Metcalf H,19
Navrud S,Navrud S,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Navrud S,Navrud S,19
Nielsen Seested j,Nielsen Seested j,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Nielsen Seested j,Nielsen Seested j,19
Ortiz R,Ortiz R,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Ortiz R,Ortiz R,19
Pellegrini S,Pellegrini S,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Pellegrini S,Pellegrini S,19
Rabl A,Rabl A,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Rabl A,Rabl A,19
Riera R,Riera R,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Riera R,Riera R,19
Scasny M,Scasny M,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Scasny M,Scasny M,19
Stoeckel M-e,Stoeckel M-e,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Stoeckel M-e,Stoeckel M-e,19
Szanto R,Szanto R,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Szanto R,Szanto R,19
Urban J,Urban J,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,Urban J,Urban J,19
Tadeusz Kadziela,Tadeusz Kadziela,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Tadeusz Kadziela,Tadeusz Kadziela,18
Jacob Lariviere,Jacob Lariviere,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",2,1,Jacob Lariviere,Jacob Lariviere,18
Margrethe Aanesen,Margrethe Aanesen,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",2,1,Margrethe Aanesen,Margrethe Aanesen,18
Jannike Falk-petersen,Jannike Falk-petersen,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",2,1,Jannike Falk-petersen,Jannike Falk-petersen,18
Dugald Tinch,Dugald Tinch,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,Dugald Tinch,Dugald Tinch,18
Malgorzata Buszko-briggs,Malgorzata Buszko-briggs,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,Malgorzata Buszko-briggs,Malgorzata Buszko-briggs,18
Marek Giergiczny,Marek Giergiczny,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",3,1,Marek Giergiczny,Marek Giergiczny,18
Tomasz Zylicz,Tomasz Zylicz,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",2,1,Tomasz Zylicz,Tomasz Zylicz,18
Per Angelstam,Per Angelstam,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,Per Angelstam,Per Angelstam,18
Wiktor Budzinski,Wiktor Budzinski,Noise,,2,1,Wiktor Budzinski,Wiktor Budzinski,18
Danny Campbell,Danny Campbell,Noise,,1,1,Danny Campbell,Danny Campbell,18
William H greene,William H greene,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,William H greene,William H greene,18
Heini Ahtiainen,Heini Ahtiainen,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Heini Ahtiainen,Heini Ahtiainen,18
Janne Artell,Janne Artell,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Janne Artell,Janne Artell,18
Linus Hasselstrom,Linus Hasselstrom,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Linus Hasselstrom,Linus Hasselstrom,18
Anni Huhtala,Anni Huhtala,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Anni Huhtala,Anni Huhtala,18
James Cr smart,James Cr smart,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,James Cr smart,James Cr smart,18
Tore Soderqvist,Tore Soderqvist,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Tore Soderqvist,Tore Soderqvist,18
Mohammed H alemu,Mohammed H alemu,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Mohammed H alemu,Mohammed H alemu,18
Daija Angeli,Daija Angeli,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Daija Angeli,Daija Angeli,18
Kim Dahlbo,Kim Dahlbo,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Kim Dahlbo,Kim Dahlbo,18
Vivi Fleming-lehtinen,Vivi Fleming-lehtinen,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Vivi Fleming-lehtinen,Vivi Fleming-lehtinen,18
Aljona Karloseva,Aljona Karloseva,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Aljona Karloseva,Aljona Karloseva,18
Yulia Khaleeva,Yulia Khaleeva,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Yulia Khaleeva,Yulia Khaleeva,18
Marie Maar,Marie Maar,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Marie Maar,Marie Maar,18
Louise Martinsen,Louise Martinsen,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Louise Martinsen,Louise Martinsen,18
Tea Nommann,Tea Nommann,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,Tea Nommann,Tea Nommann,18
