Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount
Marianne Zandersen,Marianne Zandersen,Noise,,1,1
Petr Mariel,Petr Mariel,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
David Hoyos,David Hoyos,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Jurgen Meyerhoff,Jürgen Meyerhoff,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",2,1
Thijs Dekker,Thijs Dekker,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Klaus Glenk,Klaus Glenk,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",2,2
Jette Bredahl jacobsen,Jette Bredahl Jacobsen,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Ulf Liebe,Ulf Liebe,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Sren Bye olsen,Søren Bøye Olsen,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Julian Sagebiel,Julian Sagebiel,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Mara Thiene,Mara Thiene,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Michela Faccioli,Michela Faccioli,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Mikoaj Czajkowski,Mikołaj Czajkowski,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",15,8
Julia Martin-ortega,Julia Martin-Ortega,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Nick Hanley,Nick Hanley,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",9,5
Karine Nyborg,Karine Nyborg,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Richard T carson,Richard T Carson,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",2,1
Miko_aj Czajkowski,Miko_aj Czajkowski,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Desaigues B,B Desaigues,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Ami D,D Ami,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Bartczak A,A Bartczak,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Braun-kohlova M,M Braun-Kohlová,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Chilton S,S Chilton,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Czajkowski M,M Czajkowski,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Farreras V,V Farreras,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Alistair Hunt,Alistair Hunt,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Hutchison M,M Hutchison,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Jeanrenaud C,C Jeanrenaud,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Kaderjak P,P Kaderjak,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Maca V,V Máca,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Markiewicz O,O Markiewicz,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Markowska A,A Markowska,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Metcalf H,H Metcalf,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Navrud S,S Navrud,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Nielsen Seested j,J Seested Nielsen,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Ortiz R,R Ortiz,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Pellegrini S,S Pellegrini,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Rabl A,A Rabl,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Riera R,R Riera,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Scasny M,M Scasny,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Stoeckel M-e,M-E Stoeckel,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Szanto R,R Szántó,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Urban J,J Urban,Cluster 17,"pension, age, population, defined, welfare, contribution, people, increasing, benefit, life",1,1
Tadeusz Kadziela,Tadeusz Kądziela,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Jacob Lariviere,Jacob LaRiviere,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",2,1
Margrethe Aanesen,Margrethe Aanesen,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",2,1
Jannike Falk-petersen,Jannike Falk-Petersen,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",2,1
Dugald Tinch,Dugald Tinch,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",1,1
Magorzata Buszko-briggs,Małgorzata Buszko-Briggs,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Marek Giergiczny,Marek Giergiczny,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",3,1
Tomasz Zylicz,Tomasz Żylicz,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",2,1
Per Angelstam,Per Angelstam,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Wiktor Budzinski,Wiktor Budziński,Noise,,2,1
Danny Campbell,Danny Campbell,Noise,,1,1
William H greene,William H Greene,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Heini Ahtiainen,Heini Ahtiainen,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Janne Artell,Janne Artell,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Linus Hasselstrom,Linus Hasselström,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Anni Huhtala,Anni Huhtala,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
James Cr smart,James CR Smart,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Tore Soderqvist,Tore Söderqvist,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Mohammed H alemu,Mohammed H Alemu,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Daija Angeli,Daija Angeli,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Kim Dahlbo,Kim Dahlbo,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Vivi Fleming-lehtinen,Vivi Fleming-Lehtinen,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Aljona Karloseva,Aljona Karlõševa,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Yulia Khaleeva,Yulia Khaleeva,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Marie Maar,Marie Maar,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Louise Martinsen,Louise Martinsen,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Tea Nommann,Tea Nõmmann,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Kristine Pakalniete,Kristine Pakalniete,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Ieva Oskolokaite,Ieva Oskolokaite,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Daiva Semeniene,Daiva Semeniene,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Claire Armstrong,Claire Armstrong,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Stale Navrud,Ståle Navrud,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Christian A vossler,Christian A Vossler,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Aleksandra Wisniewska,Aleksandra Wiśniewska,Cluster 16,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1
Katarzyna Zagorska,Katarzyna Zagórska,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Olga Kiuila,Olga Kiuila,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",18,13
Thomas F rutherford,Thomas F Rutherford,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",5,4
Peter Mieszkowski,Peter Mieszkowski,Noise,,1,1
Jerzy Sleszynski,Jerzy Sleszynski,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",1,1
Micha Antoszewski,Michał Antoszewski,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Jakub Boratynski,Jakub Boratyński,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Magdalena Zachod-jelec,Magdalena Zachłod-Jelec,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Krzysztof Wojtowicz,Krzysztof Wójtowicz,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",2,2
Maciej Cygler,Maciej Cygler,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Robert Jeszke,Robert Jeszke,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Maciej Pyrka,Maciej Pyrka,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Przemysaw Sikora,Przemysław Sikora,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Jan Gaska,Jan Gąska,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Erika Jorgensen,Erika Jorgensen,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Leszek Kasek,Leszek Kąsek,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Ryszard Malarski,Ryszard Malarski,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Wojciech Rabiega,Wojciech Rabiega,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Anil Markandya,Anil Markandya,Cluster 11,"tax, income, household, redistributive, benefit, inequality, debt, country, fiscal, social",2,1
Milan Scasny,Milan Ščasný,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Grzegorz Peszko,Grzegorz Peszko,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Thomas Rutherford,Thomas Rutherford,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Emilia Lewczuk,Emilia Lewczuk,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Pawe Kaczmarczyk,Paweł Kaczmarczyk,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",13,7
Marek Okolski,Marek Okólski,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",6,4
Agata Gorny,Agata Górny,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",4,3
Maciej Duszczyk,Maciej Duszczyk,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",2,1
Pawel Kaczmarczyk,Pawel Kaczmarczyk,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",3,2
Renata Stefanska,Renata Stefańska,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Andrzej Kubisiak,Andrzej Kubisiak,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Anne White,Anne White,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Izabela Grabowska,Izabela Grabowska,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Krystyna Slany,Krystyna Slany,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Monika Szulecka,Monika Szulecka,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Maciej Bitner,Maciej Bitner,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Urszula Siedlecka,Urszula Siedlecka,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Aneta Stefanczyk,Aneta Stefańczyk,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Mikkel Barslund,Mikkel Barslund,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Matthias Busse,Matthias Busse,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Carlos Vargas-silva,Carlos Vargas-Silva,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Timo Baas,Timo Baas,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Mario Izquierdo peinado,Mario Izquierdo Peinado,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Juan F jimeno,Juan F Jimeno,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Aitor Lacuesta,Aitor Lacuesta,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Bela Galgoczi,Béla Galgóczi,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Janine Leschke,Janine Leschke,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Joanna Nestorowicz,Joanna Nestorowicz,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Krzysztof Kosc,Krzysztof Kosc,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",5,5
Gerli Paatahi,Gerli Paat‐Ahi,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Maria Swiderek,Maria Świderek,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Janek Saluse,Janek Saluse,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Ain Aaviksoo,Ain Aaviksoo,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Group Eurodrg,EuroDRG group,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Magorzata Jabczynska,Małgorzata Jabłczyńska,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",3,3
Przemysaw Rys,Przemysław Ryś,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",4,4
Grzegorz Zakrzewski,Grzegorz Zakrzewski,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",6,6
Mateusz Wywia,Mateusz Wywiał,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",3,3
Oleh Bilyk,Oleh Bilyk,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Rafa Sieradzki,Rafał Sieradzki,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Anna Turovtseva,Anna Turovtseva,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Piotr Boguszewski,Piotr Boguszewski,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",15,10
Maria Lissowska,Maria Lissowska,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Departament Stabilnosci finansowej,Departament Stabilności Finansowej,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",3,1
Dorota Mirowska-wierzbicka,Dorota Mirowska-Wierzbicka,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",1,1
Katarzyna Puchalska,Katarzyna Puchalska,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",4,4
Magorzata Markiewicz,Małgorzata Markiewicz,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Jacek Kocerka,Jacek Kocerka,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Marcin Sienicki,Marcin Sienicki,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Steve Bond,Steve Bond,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Arshia Hashemi,Arshia Hashemi,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Greg Kaplan,Greg Kaplan,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",2,1
Piotr Zoch,Piotr Zoch,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",3,2
Yu-ting Chiang,Yu-Ting Chiang,Cluster 0,"monetary, rate, migration, policy, exchange, exchange rate, monetary policy, inflation, euro, economy",1,1
Quynh Bui,Quynh Bui,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Nguyen Vo,Nguyen Vo,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Jan Grudniewicz,Jan Grudniewicz,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Mateusz Kijewski,Mateusz Kijewski,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Maciej Wysocki,Maciej Wysocki,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",2,2
Maryna Zenkova,Maryna Zenkova,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Baranochnikov I.,I. Baranochnikov,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Slepaczuk R.,R. Ślepaczuk,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Micha Latoszek,Michał Latoszek,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Stanislaw Cichocki,Stanislaw Cichocki,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",3,3
Stanisaw Cichocki,Stanisław Cichocki,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",9,2
Klarita Gerxhani,Klarita Gërxhani,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Piotr Bieniek,Piotr Bieniek,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Maria Szczepaniec,Maria Szczepaniec,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Josip Franic,Josip Franic,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Velde Der van lucas,Lucas van der Velde,Cluster 3,"regional, wage, region, employment, poland, labor, market, worker, labour, policy",1,1
Aleksandra Naganska,Aleksandra Nagańska,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Maciej Sobolewski,Maciej Sobolewski,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",2,1
Ireneusz Miernik,Ireneusz Miernik,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Marcin Malawski,Marcin Malawski,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",1,1
Adele Ossareh,Adele Ossareh,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Mohammad Saeed pourjafar,Mohammad Saeed Pourjafar,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Pawe Kowal,Paweł Kowal,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",1,1
Robert Borowski,Robert Borowski,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",2,1
Iana Okhrimenko,Iana Okhrimenko,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",2,1
Wojciech Rogowski,Wojciech Rogowski,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",2,2
Magorzata Pawowska,Małgorzata Pawłowska,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Jacek Socha,Jacek Socha,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Maciej Pogorzelski,Maciej Pogorzelski,Cluster 14,"spatial, location, model, different, learning, distance, point, method, topic, firm",1,1
Przemysaw Kusztelak,Przemysław Kusztelak,Cluster 14,"spatial, location, model, different, learning, distance, point, method, topic, firm",1,1
Sobolewski Maciej,MACIEJ SOBOLEWSKI,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Miernik Ireneusz,IRENEUSZ MIERNIK,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Kopczewski Tomasz,TOMASZ KOPCZEWSKI,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Muhammad Saeed ashraf,Muhammad Saeed Ashraf,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",5,2
Fujun Hou,Fujun Hou,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",6,3
Woo Gon kim,Woo Gon Kim,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Wasim Ahmad,Wasim Ahmad,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",3,2
Rana Umair ashraf,Rana Umair Ashraf,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",18,4
Syed Anees haider zaidi,Syed Anees Haider Zaidi,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",6,2
Faisal Mehmood mirza,Faisal Mehmood Mirza,Cluster 12,"public, local, government, sector, spending, limit, expenditure, good, revenue, city",1,1
Zhiqiang Ma,Zhiqiang Ma,Noise,,1,1
Muhammad Wasif zafar,Muhammad Wasif Zafar,Noise,,1,1
Abdul Haseeb,Abdul Haseeb,Noise,,1,1
Ali Hashemizadeh,Ali Hashemizadeh,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Irfan Khan,Irfan Khan,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",3,2
Syed Ali ashiq kirmani,Syed Ali Ashiq Kirmani,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",3,1
Muhammad Ilyas,Muhammad Ilyas,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",2,1
Hafiz Muhammad arshad,Hafiz Muhammad Arshad,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",1,1
Raja Irfan sabir,Raja Irfan Sabir,Cluster 8,"school, student, education, economics, result, reform, year, test, international, poland",1,1
Muhammad Sohail,Muhammad Sohail,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Liangmin Wang,Liangmin Wang,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Shunrong Jiang,Shunrong Jiang,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Samar Zaineldeen,Samar Zaineldeen,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Ijaz Hussain shah,Ijaz Hussain Shah,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Shahid Mohammad khan ghauri,Shahid Mohammad Khan Ghauri,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Ibne Hassan,Ibne Hassan,Cluster 6,"volatility, strategy, market, investment, model, forecast, risk, portfolio, price, stock",1,1
Naeem Akhtar,Naeem Akhtar,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Muhammad Junaid,Muhammad Junaid,Cluster 13,"trust, article, research, factor, technology, network, determinant, exposure, value, aim",1,1
Li Mingxing,Li Mingxing,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Ma Zhiqiang,Ma Zhiqiang,Cluster 7,"gas, emission, engine, method, cost, energy, curve, equilibrium, sector, general equilibrium",1,1
Rashid Saeed,Rashid SAEED,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Rab Nawaz lodhi,Rab Nawaz LODHI,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Usama Awan,Usama AWAN,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Qamar Uz zaman malik,Qamar Uz Zaman MALIK,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Muhammad Fahad anwar,Muhammad Fahad Anwar,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Qamar Uz zaman,Qamar Uz Zaman,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Syed Iftikhar ul hassan,Syed Iftikhar Ul Hassan,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Khurram Abbas,Khurram Abbas,Cluster 9,"bank, financial, crisis, central bank, reporting, central, banking, economic, information, law",1,1
Kateryna Boichenko,Kateryna Boichenko,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Mario Nuno mata,Mário Nuno Mata,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Stefan Cristian gherghina,Ștefan Cristian Gherghina,Cluster 4,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1
Shufang Xiao,Shufang Xiao,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
Fenni Lian,Fenni Lian,Cluster 1,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, activity",1,1
