Id,Label,SemanticCluster,ClusterTerms,TotalPapers,TopClusterCount,Id
Shahid Mohammad khan ghauri,Shahid Mohammad khan ghauri,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,shahid mohammad khan ghauri
Hafiz Muhammad arshad,Hafiz Muhammad arshad,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,hafiz muhammad arshad
Raja Irfan sabir,Raja Irfan sabir,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,raja irfan sabir
Muhammad Sohail,Muhammad Sohail,Noise,,1,1,muhammad sohail
Liangmin Wang,Liangmin Wang,Noise,,1,1,liangmin wang
Shunrong Jiang,Shunrong Jiang,Noise,,1,1,shunrong jiang
Samar Zaineldeen,Samar Zaineldeen,Noise,,1,1,samar zaineldeen
Mlochowska Magdalena,Mlochowska Magdalena,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,mlochowska magdalena
Urszula Sztanderska,Urszula Sztanderska,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,urszula sztanderska
Magdalena Kaniewska,Magdalena Kaniewska,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,magdalena kaniewska
Woo Gon kim,Woo Gon kim,Noise,,1,1,woo gon kim
Arjun S bedi,Arjun S bedi,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,arjun s bedi
Kopczewski Tomasz,Kopczewski Tomasz,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,tomasz kopczewski
Miernik Ireneusz,Miernik Ireneusz,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,ireneusz miernik
Sobolewski Maciej,Sobolewski Maciej,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,maciej sobolewski
Markowska A,Markowska A,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,markowska a
Maciej Pogorzelski,Maciej Pogorzelski,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,maciej pogorzelski
Jacek Socha,Jacek Socha,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,jacek socha
Malgorzata Pawlowska,Malgorzata Pawlowska,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,malgorzata pawlowska
Andrzej Cielik,Andrzej Cielik,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,andrzej cielik
Giang Hien tran,Giang Hien tran,Noise,,1,1,giang hien tran
Ugochukwu Michael anyanwu,Ugochukwu Michael anyanwu,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,ugochukwu michael anyanwu
Pawel Kowal,Pawel Kowal,Noise,,1,1,pawel kowal
Mohammad Saeed pourjafar,Mohammad Saeed pourjafar,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,mohammad saeed pourjafar
Ijaz Hussain shah,Ijaz Hussain shah,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,ijaz hussain shah
Ibne Hassan,Ibne Hassan,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,ibne hassan
Corinna Hoose,Corinna Hoose,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,corinna hoose
Michal Sitek,Michal Sitek,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,michal sitek
Liangze Ma,Liangze Ma,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,liangze ma
Muhammad Ahtisham ul haq,Muhammad Ahtisham ul haq,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,muhammad ahtisham ul haq
Xianhua Fan,Xianhua Fan,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,xianhua fan
Amber Iqbal,Amber Iqbal,Noise,,1,1,amber iqbal
Ayesha Riaz,Ayesha Riaz,Noise,,1,1,ayesha riaz
Akio Arakawa,Akio Arakawa,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,akio arakawa
Naeem Akhtar,Naeem Akhtar,Cluster 17,"article, research, determinant, includes, europe, objective, goal, development, theory, identify",1,1,naeem akhtar
Tony Levitas,Tony Levitas,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,tony levitas
Roman Asinski,Roman Asinski,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,roman asinski
Jan Raczka,Jan Raczka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,jan raczka
Lier-walqui Van marcus,Lier-walqui Van marcus,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,lierwalqui van marcus
Ann M fridlind,Ann M fridlind,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,ann m fridlind
Jerry Y harrington,Jerry Y harrington,Cluster 9,"cloud, ii, effect, evolution, significant, simulation, dimension, budget, modeling, model",1,1,jerry y harrington
Mingxing Li,Mingxing Li,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,li mingxing
Fenni Lian,Fenni Lian,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,fenni lian
Shufang Xiao,Shufang Xiao,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,shufang xiao
Stefan Cristian gherghina,Stefan Cristian gherghina,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,stefan cristian gherghina
Mario Nuno mata,Mario Nuno mata,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,mario nuno mata
Kateryna Boichenko,Kateryna Boichenko,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,kateryna boichenko
Khurram Abbas,Khurram Abbas,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,khurram abbas
Syed Iftikhar ul hassan,Syed Iftikhar ul hassan,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,syed iftikhar ul hassan
Qamar Uz zaman,Qamar Uz zaman,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,qamar uz zaman malik
Muhammad Fahad anwar,Muhammad Fahad anwar,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,muhammad fahad anwar
Usama Awan,Usama Awan,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,usama awan
Rab Nawaz lodhi,Rab Nawaz lodhi,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,rab nawaz lodhi
Kopanska Agnieszka,Kopanska Agnieszka,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,agnieszka kopanska
Ma Zhiqiang,Ma Zhiqiang,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,zhiqiang ma
Li Mingxing,Li Mingxing,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,mingxing li
Muhammad Junaid,Muhammad Junaid,Cluster 17,"article, research, determinant, includes, europe, objective, goal, development, theory, identify",1,1,muhammad junaid
Metcalf H,Metcalf H,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,metcalf h
Karine Nyborg,Karine Nyborg,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,karine nyborg
Markiewicz O,Markiewicz O,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,markiewicz o
Jolanta Kujawa,Jolanta Kujawa,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,jolanta kujawa
Piotr Tederko,Piotr Tederko,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,piotr tederko
James Middleton,James Middleton,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,james middleton
Conran Joseph,Conran Joseph,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,conran joseph
Maria Cristina pagliacci,Maria Cristina pagliacci,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,maria cristina pagliacci
Christina-anastasia Rapidi,Christina-anastasia Rapidi,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,christinaanastasia rapidi
Jan Marcus,Jan Marcus,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",1,1,jan marcus
Pawel Turczyn,Pawel Turczyn,Noise,,1,1,pawel turczyn
Michal Kurcewicz,Michal Kurcewicz,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,michal kurcewicz
Gabriela Grotkowska,Gabriela Grotkowska,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,gabriela grotkowska
Leszek Wincenciak,Leszek Wincenciak,Cluster 6,"preference, choice, support, respondent, service, valuation, environmental, survey, increase, experiment",1,1,leszek wincenciak
Mateusz Machaj,Mateusz Machaj,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,mateusz machaj
Jablecki Juliusz,Jablecki Juliusz,Noise,,1,1,juliusz jablecki
Kamil Matuszelanski,Kamil Matuszelanski,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,kamil matuszelanski
Mieczyslaw W socha,Mieczyslaw W socha,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,mieczyslaw w socha
Medica Minerva edizioni,Medica Minerva edizioni,Cluster 17,"article, research, determinant, includes, europe, objective, goal, development, theory, identify",1,1,medica minerva edizioni
Krzysztof Bartosik,Krzysztof Bartosik,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,krzysztof bartosik
Kenia Barreiro de souza,Kenia Barreiro de souza,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,kenia barreiro de souza
Agnieszka Pugacewicz,Agnieszka Pugacewicz,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,agnieszka pugacewicz
Andrzej Cieoelik,Andrzej Cieoelik,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,andrzej cieoelik
Jan Micha3ek,Jan Micha3ek,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,jan micha3ek
Anna Micha3ek,Anna Micha3ek,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,anna micha3ek
Victoria Roshal,Victoria Roshal,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,victoria roshal
Jacek Rothert,Jacek Rothert,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,jacek rothert
Alfred Tovias,Alfred Tovias,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,alfred tovias
Mark Vancauteren,Mark Vancauteren,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,mark vancauteren
Filip Wuyts,Filip Wuyts,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,filip wuyts
Mahdi Ghodsi ghodsi,Mahdi Ghodsi ghodsi,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,mahdi ghodsi
Maja Micevska,Maja Micevska,Noise,,1,1,maja micevska
Cieslik Andrzej,Cieslik Andrzej,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,andrzej cieslik
Michalek Jj,Michalek Jj,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,michalek jj
Mycielski Jerzy,Mycielski Jerzy,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,jerzy mycielski
Yohanes E riyanto,Yohanes E riyanto,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,yohanes e riyanto
Krzysztof Ostaszewski,Krzysztof Ostaszewski,Noise,,1,1,krzysztof ostaszewski
Piotr Cwiakowski,Piotr Cwiakowski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,piotr cwiakowski
Maca V,Maca V,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,maca v
Iga Magda,Iga Magda,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,iga magda
Michalek And andrzej,Michalek And andrzej,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,michalek and andrzej
Jan Jakub and szczygielski,Jan Jakub and szczygielski,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,jan jakub and szczygielski
Agnieszka Hryniewicka,Agnieszka Hryniewicka,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,agnieszka hryniewicka
Teoman Pamukcu,Teoman Pamukcu,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,teoman pamukcu
Sinan Tandogan,Sinan Tandogan,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,sinan tandogan
Szczygielski K,Szczygielski K,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,krzysztof szczygielski
Mehmet Teoman & tandogan,Mehmet Teoman & tandogan,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,mehmet teoman  tandogan
Lukasz Arendt,Lukasz Arendt,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,lukasz arendt
Wilhelm Kohler,Wilhelm Kohler,Cluster 1,"trade, gravity, country, variable, eu, eurozone, cee, cee country, agreement, human",1,1,wilhelm kohler
Krzysztof Marczewski,Krzysztof Marczewski,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,krzysztof marczewski
Eduardo A haddad,Eduardo A haddad,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,eduardo a haddad
Harry A patrinos,Harry A patrinos,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,harry a patrinos
Mark Horridge,Mark Horridge,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,mark horridge
Krzysztof Cieslik,Krzysztof Cieslik,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,krzysztof cieslik
Wojciech & pamukcu,Wojciech & pamukcu,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,wojciech  pamukcu
Oliver Fritz,Oliver Fritz,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,oliver fritz
Dagmara Kociuba,Dagmara Kociuba,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,dagmara kociuba
Krzysztof Chrostek,Krzysztof Chrostek,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,krzysztof chrostek
Anna Lewandowska,Anna Lewandowska,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,anna lewandowska
Aura Reggiani,Aura Reggiani,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,aura reggiani
Laurie A schintler,Laurie A schintler,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,laurie a schintler
Danny Czamanski,Danny Czamanski,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,danny czamanski
Roberto Patuelli,Roberto Patuelli,Cluster 8,"spatial, model, location, simple, different, learning, distance, point, market, prediction",1,1,roberto patuelli
Iwona Kukulak-dolata,Iwona Kukulak-dolata,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,iwona kukulakdolata
Krzysztof & grabowski,Krzysztof & grabowski,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,krzysztof  grabowski
Jaroslaw Beldowski,Jaroslaw Beldowski,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,jaroslaw beldowski
Dominika Milczarek,Dominika Milczarek,Noise,,1,1,dominika milczarek
Przemyslaw Banasik,Przemyslaw Banasik,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,przemyslaw banasik
Malgorzata Godlewska,Malgorzata Godlewska,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,malgorzata godlewska
Sylwia Morawska,Sylwia Morawska,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,sylwia morawska
Vedat Sinan szczygielski,Vedat Sinan szczygielski,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,vedat sinan szczygielski
Peter Huber,Peter Huber,Noise,,1,1,peter huber
Jarko Fidrmuc,Jarko Fidrmuc,Noise,,1,1,jarko fidrmuc
Janet C gornick,Janet C gornick,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",1,1,janet c gornick
Alain Naef,Alain Naef,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,alain naef
Lilian Kreitz,Lilian Kreitz,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,lilian kreitz
Luis Molina sanchez,Luis Molina sanchez,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,luis molina sanchez
Floriane Van den,Floriane Van den,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,floriane van den
Carlijn Eijking,Carlijn Eijking,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,carlijn eijking
Markus Eller,Markus Eller,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,markus eller
Clement Marsilli,Clement Marsilli,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,clement marsilli
Valerio Nispi landi,Valerio Nispi landi,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,valerio nispi landi
Alberto Fuentes,Alberto Fuentes,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,alberto fuentes
Anastasia Theofilakou,Anastasia Theofilakou,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,anastasia theofilakou
Juan Carlos berganza,Juan Carlos berganza,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,juan carlos berganza
Rafael Cezar,Rafael Cezar,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,rafael cezar
Ewa Askman,Ewa Askman,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,ewa askman
Michal Greszta,Michal Greszta,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,michal greszta
Marcin Humanicki,Marcin Humanicki,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,marcin humanicki
Joel Graca alves,Joel Graca alves,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,joel graca alves
Isabella Moder,Isabella Moder,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,isabella moder
Filippo Di mauro,Filippo Di mauro,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,filippo di mauro
Barbara Karbownik,Barbara Karbownik,Cluster 18,"public, local, government, sector, spending, limit, expenditure, higher, private, influence",1,1,barbara karbownik
Anna Ruzik,Anna Ruzik,Noise,,1,1,anna ruzik
Oleksandr Rohozynsky,Oleksandr Rohozynsky,Noise,,1,1,oleksandr rohozynsky
Magdalena Rokicka,Magdalena Rokicka,Noise,,1,1,magdalena rokicka
Kula Gj,Kula Gj,Noise,,1,1,kula gj
Marek Gora,Marek Gora,Noise,,1,1,marek gora
Grazyna Bukowska,Grazyna Bukowska,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,bukowska grazyna
Axel Bruggemann,Axel Bruggemann,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,axel bruggemann
Ewa Stawasz-grabowska,Ewa Stawasz-grabowska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,ewa stawaszgrabowska
Magda Cizkowicz,Magda Cizkowicz,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,magda cizkowicz
Malgorzata Walerych,Malgorzata Walerych,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,malgorzata walerych
Aleksandra Kolasa,Aleksandra Kolasa,Cluster 5,"health, pension, age, population, people, defined, welfare, care, contribution, increasing",1,1,aleksandra kolasa
Roland Beck,Roland Beck,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,roland beck
Beatrice Scheubel,Beatrice Scheubel,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,beatrice scheubel
Mariusz Kapuscinski,Mariusz Kapuscinski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,mariusz kapuscinski
Tomasz Kleszcz,Tomasz Kleszcz,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,tomasz kleszcz
Bernard Ziebicki,Bernard Ziebicki,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,bernard ziebicki
Rafal Wozniak,Rafal Wozniak,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",1,1,rafal wozniak
Mateusz Marcol,Mateusz Marcol,Cluster 7,"constitutional, political, rule, country, society, gap, economic, period, empirical, country period",1,1,mateusz marcol
Lukasz Kwiatkowski,Lukasz Kwiatkowski,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,lukasz kwiatkowski
Janusz Morajda,Janusz Morajda,Cluster 14,"volatility, strategy, investment, market, model, forecast, stock, portfolio, price, index",1,1,janusz morajda
Artur Predki,Artur Predki,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,artur predki
Janusz Nesterak,Janusz Nesterak,Cluster 16,"cost, emission, energy, curve, equilibrium, general equilibrium, sector, environmental, technology, general",1,1,janusz nesterak
Jakub Muck,Jakub Muck,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,jakub muck
Michal Ledochowski,Michal Ledochowski,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,michal ledochowski
Jakub Growiec,Jakub Growiec,Cluster 3,"growth, cycle, business, expenditure, concentration, effect, country, result, economy, period",1,1,jakub growiec
Philippe Van kerm,Philippe Van kerm,Cluster 10,"wealth, household, income, distribution, net, project, difference, inequality, country, consumption",1,1,philippe van kerm
Karina Doorley,Karina Doorley,Cluster 2,"regional, wage, region, employment, poland, market, labor, worker, labour, policy",1,1,karina doorley
Mahdi Ghodsi,Mahdi Ghodsi,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,mahdi ghodsi ghodsi
Compnet Task force,Compnet Task force,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,compnet task force
Paloma Lopez-garcia,Paloma Lopez-garcia,Cluster 4,"firm, innovation, export, country, productivity, foreign, performance, exporting, empirical, productive",1,1,paloma lopezgarcia
Casado Jm,Casado Jm,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,casado jm
Caju Pd,Caju Pd,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,caju pd
Michal Wrzesinski,Michal Wrzesinski,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,michal wrzesinski
Sierminska E,Sierminska E,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,eva sierminska
Oliver De groot,Oliver De groot,Cluster 13,"bank, financial, crisis, reporting, central bank, central, banking, economic, law, company",1,1,oliver de groot
Ewa Wrobel,Ewa Wrobel,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,ewa wrobel
Dorota Scibisz,Dorota Scibisz,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,dorota scibisz
Karol Szafranek,Karol Szafranek,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,karol szafranek
Ewa Stanislawska,Ewa Stanislawska,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,ewa stanislawska
Mateusz Pipien,Mateusz Pipien,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,mateusz pipien
Tomasz Lyziak,Tomasz Lyziak,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,tomasz lyziak
Michal Lesyk,Michal Lesyk,Cluster 0,"monetary, rate, policy, exchange, exchange rate, monetary policy, inflation, euro, economy, strategy",1,1,michal lesyk
Francesca Borgonovi,Francesca Borgonovi,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,francesca borgonovi
Agata Miazga,Agata Miazga,Cluster 11,"tax, income, household, redistributive, benefit, inequality, country, debt, social, fiscal",1,1,agata miazga
Ireneusz Bialecki,Ireneusz Bialecki,Cluster 12,"school, student, education, reform, test, international, estimate, year, loss, significant",1,1,ireneusz bialecki
Seifeddine Jomaa,Seifeddine Jomaa,Noise,,1,1,seifeddine jomaa
Michele Casini,Michele Casini,Noise,,1,1,michele casini
Marek Reksa,Marek Reksa,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,marek reksa
Klaus Hinsby,Klaus Hinsby,Noise,,1,1,klaus hinsby
Anna Czarny,Anna Czarny,Cluster 15,"gas, engine, emission, method, human, tested, presented, concentration, source, standard",1,1,anna czarny
Kerstin Johannesson,Kerstin Johannesson,Noise,,1,1,kerstin johannesson
Veijo Jormalainen,Veijo Jormalainen,Noise,,1,1,veijo jormalainen
Erik Bonsdorff,Erik Bonsdorff,Noise,,1,1,erik bonsdorff
Harri Kuosa,Harri Kuosa,Noise,,1,1,harri kuosa
Sara Kurland,Sara Kurland,Noise,,1,1,sara kurland
